Z,EPICS_SHELL,H0[mc]
52,8,17.81468039
52,10,10.53806836
52,11,10.88065844
52,13,7.2629077
52,14,7.345129631
52,16,40.56265673
52,18,26.17387454
52,19,27.13312913
52,21,23.02204784
52,22,23.29612082
52,27,126.0731191
52,29,91.12893924
52,30,94.96594735
53,1,2.096650682
53,3,7.495868922
53,5,3.727379196
53,6,3.905525941
53,8,17.2665354
53,10,10.25029267
53,11,10.60658631
53,13,7.05735375
53,14,7.139575768
53,16,39.05525969
53,18,25.21462437
53,19,26.03684
53,21,21.78872335
53,22,22.06279616
53,27,116.8917074
53,29,83.31788719
53,30,87.29193171
54,1,2.041836317
54,3,7.331426135
54,5,3.631454143
54,6,3.823304337
54,8,16.85542829
54,10,9.989924732
54,11,10.33251437
54,13,6.865503354
54,14,6.947724934
54,16,37.54786272
54,18,24.11833545
54,19,24.94055163
54,21,20.69243673
54,22,20.96650697
54,27,109.2176913
54,29,77.01423141
54,30,81.12531179
55,1,2.000725487
55,3,7.166982809
55,5,3.549232413
55,6,3.741082688
55,8,16.44432049
55,10,9.729555954
55,11,10.07214566
55,13,6.687356529
55,14,6.769578049
55,16,36.17750288
55,18,23.29612082
55,19,24.11833545
55,21,19.73318346
55,22,19.87022059
55,27,98.66591904
55,29,68.24392768
55,30,71.5327916
55,41,375.4786298
56,1,1.959614869
56,3,7.016243482
56,5,3.480714394
56,6,3.672564744
56,8,16.0332126
56,10,9.482891292
56,11,9.839184763
56,13,6.509209748
56,14,6.591431568
56,16,34.94418095
56,18,22.33686736
56,19,23.15908301
56,21,18.77393099
56,22,19.04800475
56,27,90.03265144
56,29,61.94027153
56,30,64.8180276
56,41,305.5902793
57,1,1.918504082
57,3,6.865503354
57,5,3.398492865
57,6,3.604046919
57,8,15.62210437
57,10,9.249929763
57,11,9.606223391
57,13,6.344766871
57,14,6.42698838
57,16,33.71085723
57,18,21.65168885
57,19,22.33686736
57,21,17.95171509
57,22,18.22578698
57,27,84.41417505
57,29,58.10326383
57,30,60.29583972
57,33,69.7513237
57,41,283.6645189
58,1,1.877393274
58,3,6.714763827
58,5,3.329974873
58,6,3.521825131
58,8,15.21099556
58,10,9.016969106
58,11,9.373261909
58,13,6.19402711
58,14,6.276248682
58,16,32.75160467
58,18,20.96650697
58,19,21.78872335
58,21,17.40357175
58,22,17.67764343
58,25,19.45911229
58,27,82.49567175
58,29,56.73290335
58,30,59.06251554
58,33,68.24392768
58,41,280.9237972
59,1,1.849985976
59,3,6.577727746
59,5,3.261456773
59,6,3.453307123
59,8,14.93692385
59,10,8.811415162
59,11,9.167708447
59,13,6.043287539
59,14,6.12550902
59,16,32.06642262
59,18,20.55539955
59,19,21.37761525
59,21,17.1295006
59,22,17.2665354
59,24,20.41836331
59,25,20.41836331
59,27,83.45492355
59,29,57.14401146
59,30,60.56991141
59,41,294.6273974
60,1,1.808875277
60,3,6.440691811
60,5,3.192938837
60,6,3.398492865
60,8,14.52581568
60,10,8.60586079
60,11,8.962154524
60,13,5.906251453
60,14,5.974769731
60,16,31.24420623
60,18,20.00725501
60,19,20.82947099
60,21,16.58135644
60,22,16.85542829
60,24,19.32207565
60,25,19.32207565
60,27,81.81049109
60,29,55.77365182
60,30,59.47362389
60,41,291.8866781
61,1,1.767764331
61,3,6.317359741
61,5,3.124420914
61,6,3.329974873
61,8,14.25174362
61,10,8.400307047
61,11,8.770303903
61,13,5.769215782
61,14,5.837733711
61,16,30.55902803
61,18,19.45911229
61,19,20.28132797
61,21,16.17024716
61,22,16.30728366
61,24,18.36282349
61,25,18.36282349
61,27,80.30309542
61,29,54.67736375
61,30,58.51437136
61,41,289.1459588
62,1,1.740357163
62,3,6.19402711
62,5,3.055902781
62,6,3.275160444
62,8,13.84063538
62,10,8.208456131
62,11,8.57845355
62,13,5.64588329
62,14,5.714400877
62,16,29.73681256
62,18,19.04800475
62,19,19.87022059
62,21,15.75913912
62,22,15.8961757
62,24,17.67764343
62,25,17.67764343
62,27,78.79569933
62,29,53.58107559
62,30,57.55511948
62,41,286.4052392
63,1,1.699246399
63,3,6.070694771
63,5,3.001088506
63,6,3.206642239
63,8,13.59397063
63,10,8.030309405
63,11,8.400307047
63,13,5.522550818
63,14,5.591068749
63,16,29.05163193
63,18,18.49985989
63,19,19.45911229
63,21,15.34803202
63,22,15.62210437
63,24,16.99246411
63,25,17.81468039
63,27,77.28830329
63,29,52.62182346
63,30,56.5958674
63,41,283.6645189
64,1,1.671839234
64,3,5.947362585
64,5,2.932570254
64,6,3.151827862
64,8,13.30619556
64,10,7.852162396
64,11,8.235863853
64,13,5.399218162
64,14,5.467736118
64,16,28.36645141
64,18,18.08875109
64,19,18.91096776
64,21,14.93692385
64,22,15.0739601
64,24,15.48506728
64,25,15.8961757
64,27,73.72536742
64,29,50.15517795
64,30,53.58107559
64,33,64.13284777
64,41,264.4794775
65,1,1.644432037
65,3,5.837733711
65,5,2.877756099
65,6,3.097013495
65,8,13.01841975
65,10,7.687719291
65,11,8.071420252
65,13,5.289589578
65,14,5.358107628
65,16,27.81830781
65,18,17.67764343
65,19,18.63689575
65,21,14.66285255
65,22,14.79988719
65,24,15.8961757
65,25,16.58135644
65,27,74.54758366
65,29,50.70331983
65,30,54.81439974
65,41,278.1830773
66,1,1.603321249
66,3,5.728104988
66,5,2.82294159
66,6,3.04219915
66,8,12.75805145
66,10,7.523276579
66,11,7.90697719
66,13,5.179960643
66,14,5.262182467
66,16,27.27016257
66,18,17.2665354
66,19,18.22578698
66,21,14.25174362
66,22,14.52581568
66,24,15.48506728
66,25,16.0332126
66,27,73.31425966
66,29,49.88110423
66,30,53.99218362
66,41,275.4423576
67,1,1.575914058
67,3,5.618476031
67,5,2.768127111
67,6,3.001088506
67,8,12.49768289
67,10,7.358832985
67,11,7.7562375
67,13,5.070331795
67,14,5.152553713
67,16,26.58498435
67,18,16.85542829
67,19,17.81468039
67,21,13.97767143
67,22,14.25174362
67,24,15.0739601
67,25,15.62210437
67,27,72.08093525
67,29,49.05888731
67,30,53.16996761
67,41,272.7016385
68,1,1.548506717
68,3,5.508847071
68,5,2.713312894
68,6,2.946274109
68,8,12.23731461
68,10,7.208093258
68,11,7.619201379
68,13,4.960702969
68,14,5.056628507
68,16,26.03684
68,18,16.58135644
68,19,17.54060815
68,21,13.64878571
68,22,13.84063538
68,24,14.66285255
68,25,15.0739601
68,27,70.84761184
68,29,48.37370874
68,30,52.48478764
68,41,269.9609175
69,1,1.521099545
69,3,5.412922002
69,5,2.658498417
69,6,2.891459692
69,8,12.00435329
69,10,7.071057599
69,11,7.468461781
69,13,4.864777882
69,14,4.960702969
69,16,25.48869596
69,18,16.17024716
69,19,17.1295006
69,21,13.36100992
69,22,13.62137784
69,24,14.25174362
69,25,14.66285255
69,27,69.7513237
69,29,47.55149164
69,30,51.79960783
69,41,267.2201975
